,Date,Hour,PM2_MIN,PM2_MAX,PM2_AVG
264,2019-09-08,11,6.0,11.0,8.0
265,2019-09-08,12,6.0,11.0,8.0
266,2019-09-08,13,6.0,11.0,8.0
267,2019-09-08,14,6.0,11.0,8.0
268,2019-09-08,15,6.0,11.0,8.0
269,2019-09-08,16,4.304708687912418,11.057965679645093,7.242217335655022
270,2019-09-08,17,6.0,12.0,9.0
271,2019-09-08,18,6.0,12.0,9.0
272,2019-09-08,19,6.0,12.0,9.0
273,2019-09-08,20,7.0,12.0,9.0
274,2019-09-08,21,7.0,12.0,9.0
275,2019-09-08,22,7.0,12.0,9.0
276,2019-09-08,23,7.0,12.0,9.0
277,2019-09-09,0,7.0,12.0,9.0
278,2019-09-09,1,8.0,12.0,10.0
279,2019-09-09,2,8.0,12.0,10.0
280,2019-09-09,3,8.0,12.0,10.0
281,2019-09-09,4,8.0,12.0,10.0
282,2019-09-09,5,9.0,12.0,10.0
283,2019-09-09,6,9.0,12.0,10.0
284,2019-09-09,7,10.0,12.0,11.0
285,2019-09-09,8,9.0,12.0,10.0
286,2019-09-09,9,9.0,12.0,10.0
287,2019-09-09,10,9.0,12.0,10.0
288,2019-09-09,11,9.0,12.0,10.0
289,2019-09-09,12,9.0,12.0,10.0
290,2019-09-09,13,9.0,12.0,10.0
291,2019-09-09,14,9.0,12.0,10.0
292,2019-09-09,15,9.0,12.0,10.0
293,2019-09-09,16,9.0,12.0,10.0
294,2019-09-09,19,9.0,11.0,10.0
295,2019-09-09,20,9.0,11.0,10.0
296,2019-09-09,21,9.0,11.0,10.0
297,2019-09-09,22,9.0,11.0,10.0
298,2019-09-09,23,9.0,11.0,10.0
299,2019-09-10,0,9.0,11.0,10.0
300,2019-09-10,1,9.0,11.0,10.0
301,2019-09-10,2,9.0,11.0,10.0
302,2019-09-10,3,9.0,11.0,10.0
303,2019-09-10,4,9.0,12.0,10.0
304,2019-09-10,5,9.0,12.0,10.0
305,2019-09-10,6,9.0,12.0,10.0
306,2019-09-10,7,9.0,13.0,11.0
307,2019-09-10,8,9.0,13.0,11.0
